meal_id,name,prep_time_mins,ingredient_count,spice_level,is_veg,budget_tier,main_ingredients
M030,Veg Hakka Noodles,20,7,3,1,2,"Noodles, Cabbage, Carrot, Capsicum, Soy Sauce"
M031,Desi Macaroni,20,6,2,1,1,"Macaroni, Onion, Tomato, Capsicum, Ketchup"
M032,Pav Bhaji,40,9,3,1,2,"Pav, Potato, Peas, Cauliflower, Pav Bhaji Masala, Butter"
M033,Misal Pav,45,8,4,1,2,"Moth Beans, Misal Masala, Onion, Farsan, Pav"
M034,Vada Pav,30,7,4,1,1,"Pav, Potato, Besan, Garlic Chutney, Green Chili"
M035,Bombay Sandwich,15,7,2,1,1,"Bread, Potato, Cucumber, Tomato, Mint Chutney, Butter"
M036,Cheese Chilli Toast,10,5,3,1,2,"Bread, Cheese, Green Chili, Capsicum, Butter"
M037,Paneer Sandwich,15,6,2,1,2,"Bread, Paneer, Onion, Capsicum, Mayonnaise"
M038,Bhel Puri (No Cook),10,7,3,1,1,"Puffed Rice, Onion, Tomato, Tamarind Chutney, Sev"
M039,Moong Dal Cheela,20,5,2,1,1,"Moong Dal, Green Chili, Ginger, Cumin, Onion"
M040,Besan Cheela,15,5,2,1,1,"Besan, Onion, Tomato, Green Chili, Carom Seeds"
M041,Veg Manchurian (Dry),45,10,3,1,3,"Cabbage, Carrot, Flour, Soy Sauce, Garlic, Chili"
M042,Chilli Paneer,30,8,3,1,3,"Paneer, Capsicum, Onion, Soy Sauce, Chili Sauce"
M043,Gobi Paratha,30,6,2,1,1,"Flour, Cauliflower, Green Chili, Ginger, Garam Masala"
M044,Paneer Paratha,30,5,2,1,2,"Flour, Paneer, Green Chili, Coriander, Ajwain"
M045,Onion Tomato Uttapam,20,5,2,1,2,"Dosa Batter, Onion, Tomato, Green Chili, Coriander"
M046,Idli Fry,15,5,2,1,1,"Leftover Idli, Mustard Seeds, Curry Leaves, Gunpowder"
M047,Bread Butter Jam,5,3,1,1,1,"Bread, Butter, Jam"
M048,Mushroom Masala,30,7,3,1,3,"Mushroom, Onion, Tomato, Garlic, Garam Masala"
M049,Lauki Chana Dal,35,6,2,1,1,"Bottle Gourd, Chana Dal, Tomato, Cumin, Turmeric"
M050,Dum Aloo,45,8,3,1,2,"Baby Potato, Yogurt, Onion, Tomato, Fennel Powder, Garam Masala"
M051,Malai Kofta,60,12,2,1,4,"Paneer, Potato, Cream, Cashew, Tomato, Garam Masala"
M052,Veg Dum Biryani,55,14,3,1,3,"Basmati Rice, Mix Veggies, Yogurt, Mint, Biryani Masala, Ghee"
M053,Lobia Curry (Black-Eyed Peas),35,7,2,1,1,"Black Eyed Peas, Onion, Tomato, Cumin, Coriander Powder"
M054,Aloo Gobi,25,6,2,1,1,"Potato, Cauliflower, Turmeric, Cumin, Ginger"
M055,Methi Matar Malai,40,8,2,1,3,"Fenugreek Leaves, Peas, Cream, Cashew, Onion, Green Chili"
M056,Karela Pyaz (Bitter Gourd),30,5,3,1,1,"Bitter Gourd, Onion, Amchur, Fennel, Chili Powder"
M057,Paneer Tikka Masala,45,10,3,1,3,"Paneer, Capsicum, Yogurt, Tomato, Onion, Tikka Masala"
M058,Mushroom Pulao,30,8,2,1,2,"Rice, Mushroom, Onion, Mint, Whole Spices"
M059,Cabbage Thoran (Dry),20,6,2,1,1,"Cabbage, Coconut, Mustard Seeds, Curry Leaves, Green Chili"
M060,Dal Palak,30,7,2,1,1,"Yellow Lentils, Spinach, Garlic, Cumin, Tomato"
M061,Sindhi Kadhi,45,10,3,1,2,"Besan, Tamarind, Drumstick, Okra, Potato, Cluster Beans"
M062,Shahi Paneer,40,9,1,1,3,"Paneer, Tomato, Cashew, Cream, Cardamom, Saffron"
M063,Vegetable Korma,40,10,2,1,2,"Mix Veggies, Coconut, Poppy Seeds, Cashew, Green Chili"
M064,Sev Tomato Nu Shaak,20,6,3,1,1,"Tomato, Namkeen Sev, Garlic, Mustard Seeds, Chili Powder"
M065,Aloo Methi,25,5,2,1,1,"Potato, Fenugreek Leaves, Garlic, Cumin, Red Chili"
M066,Chana Pulao,30,7,2,1,1,"Rice, Chickpeas, Onion, Garam Masala, Mint"
M067,Gutta Curry (Besan),40,8,3,1,2,"Besan, Yogurt, Onion, Mustard Oil, Coriander Powder"
M068,Kaju Curry,35,8,2,1,4,"Cashews, Tomato, Onion, Cream, Garam Masala"
M069,Soya Chaap Masala,45,9,3,1,3,"Soya Chaap, Onion, Tomato, Yogurt, Meat Masala (Veg)"
M070,Poori Sabzi,35,6,2,1,1,"Flour, Potato, Tomato, Panch Phoron, Green Chili"
M071,Chole Bhature,60,10,3,1,3,"Chickpeas, Flour, Chole Masala, Onion, Yogurt, Baking Soda"
M072,Bisi Bele Bath,45,12,3,1,2,"Rice, Toor Dal, Tamarind, Mix Veggies, Bisi Bele Masala"
M073,Capsicum Besan (Zunka),20,6,3,1,1,"Capsicum, Besan, Onion, Mustard Seeds, Chili Powder"
M074,Baingan Masala (Stuffed Eggplant),40,8,3,1,2,"Baby Eggplant, Peanut, Coconut, Sesame Seeds, Tamarind"
M075,Veg Fried Rice,20,8,3,1,2,"Rice, Cabbage, Carrot, Spring Onion, Soy Sauce, Vinegar"
M076,Chilli Mushroom,25,8,3,1,3,"Mushroom, Capsicum, Onion, Soy Sauce, Green Chili"
M077,Paneer Pulao,25,7,2,1,2,"Rice, Paneer, Peas, Cumin, Whole Spices"
M078,Lauki Kofta,50,9,2,1,2,"Bottle Gourd, Besan, Tomato, Onion, Cumin, Garam Masala"
M079,Tinda Masala,30,6,2,1,1,"Apple Gourd, Onion, Tomato, Turmeric, Coriander Powder"
M080,Beans Poriyal,20,5,2,1,1,"Green Beans, Coconut, Mustard Seeds, Urad Dal, Red Chili"
M081,Navratan Korma,45,12,1,1,4,"Mix Veggies, Paneer, Pineapple, Cashew, Cream, Saffron"
M082,Dal Panchmel,35,7,2,1,1,"Mixed Lentils, Ghee, Cumin, Garlic, Dry Red Chili"
M083,Aloo Shimla Mirch,25,5,2,1,1,"Potato, Capsicum, Tomato, Cumin, Turmeric"
M084,Mooli Paratha,30,6,2,1,1,"Flour, Radish, Ajwain, Green Chili, Coriander"
M085,Mix Veg Paratha,35,8,2,1,2,"Flour, Potato, Carrot, Peas, Paneer, Garam Masala"
M086,Schezwan Fried Rice,20,8,4,1,2,"Rice, Cabbage, Carrot, Schezwan Sauce, Spring Onion"
M087,Burnt Garlic Fried Rice,20,7,2,1,2,"Rice, Lots of Garlic, Spring Onion, Soy Sauce, Vinegar"
M088,Paneer Do Pyaza,35,8,3,1,3,"Paneer, Lots of Onion, Tomato, Kasuri Methi, Coriander Seeds"
M089,Aloo Baingan,25,6,2,1,1,"Potato, Eggplant, Mustard Oil, Tomato, Panch Phoron"
M090,Veg Jalfrezi,30,9,3,1,2,"Mix Veggies, Capsicum, Onion, Tomato Ketchup, Vinegar"
M091,Pindi Chole,45,9,3,1,2,"Chickpeas, Tea Bag, Anardana, Ginger, Green Chili"
M092,Vangi Bath (Eggplant Rice),30,8,3,1,2,"Rice, Eggplant, Vangi Bath Powder, Tamarind, Peanuts"
M093,Dondakaya Fry (Ivy Gourd),25,5,3,1,1,"Ivy Gourd, Onion, Curry Leaves, Chili Powder, Cumin"
M094,Mushroom Matar,30,7,2,1,2,"Mushroom, Peas, Onion, Tomato, Garam Masala"
M095,Arbi Masala (Taro Root),35,6,3,1,2,"Taro Root, Ajwain, Amchur, Chili Powder, Mustard Oil"
M096,Rajma Galouti Kebab,45,9,2,1,3,"Kidney Beans, Roasted Besan, Ghee, Cardamom, Cloves"
M097,Lasooni Dal Tadka,25,6,3,1,1,"Yellow Lentils, Lots of Garlic, Ghee, Dry Red Chili, Cumin"
M098,Veg Pulao (Pressure Cooker),20,7,2,1,1,"Rice, Carrot, Beans, Peas, Ghee, Cumin"
M099,Gutti Vankaya Kura,45,10,4,1,2,"Baby Eggplant, Peanut, Coconut, Coriander Seeds, Tamarind"
M100,Egg Bhurji,15,6,3,0,1,"Eggs, Onion, Tomato, Green Chili, Coriander"
M101,Egg Curry,30,8,3,0,2,"Eggs, Onion, Tomato, Garam Masala"
M102,Chicken Curry (Simple),45,10,4,0,3,"Chicken, Onion, Yogurt, Ginger, Garlic"
M103,Chicken Keema,35,9,4,0,3,"Minced Chicken, Peas, Onion, Garam Masala"
M104,Omelette Pav,10,5,3,0,1,"Eggs, Bread, Onion, Chili"
M105,Dal Khichdi,25,4,1,1,1,"Rice, Yellow Lentils, Cumin, Ghee"
M106,Fanta Maggi (Outlier),10,4,3,1,1,"Maggi, Fanta, Maggi Masala, Red Chili"
M107,Bhut Jolokia Chicken (Outlier),50,8,5,0,3,"Chicken, Ghost Pepper, Onion, Garlic"
M108,4-Hour Mutton Dum Biryani (Outlier),240,15,4,0,5,"Mutton, Basmati Rice, Saffron, Ghee, Whole Spices"
M109,Leftover Sabzi Cheese Sandwich,10,4,2,1,1,"Bread, Cheese, Leftover Veggies, Butter"
M110,Lobster Ghee Roast (Outlier),45,10,4,0,5,"Lobster, Ghee, Byadagi Chili, Garlic, Tamarind"
